# script: ch06_full_grid.py
# seeds: 0
maturity,d,cp,anchor,method,DM,p,mspe_anchor,mspe_method
2,1,True,PCA+poly(LN-winner),INPCA(k4)+linear,-1.0406883082307161,0.2980202312363587,2.3364872842024775,2.5955164478221424
2,1,True,PCA+poly(LN-winner),INPCA(k4)+poly,-1.0534578279124596,0.29213121268928255,2.3364872842024775,2.596271024153658
2,1,True,PCA+poly(LN-winner),PCA+linear,-1.5670936339461796,0.11709280700198921,2.3364872842024775,2.5807868650462407
2,1,True,PCA+poly(LN-winner),PCA+poly,,,2.3364872842024775,2.3364872842024775
2,1,True,PCA+poly(LN-winner),PLS+linear,-1.39957772265166,0.16163980888425034,2.3364872842024775,2.614712118947061
2,1,True,PCA+poly(LN-winner),PLS+poly,-1.627869373950222,0.10355258657976885,2.3364872842024775,2.6927265286986715
2,1,True,PCA+poly(LN-winner),SAVE+linear,-1.0277197664957858,0.30408166700633754,2.3364872842024775,2.7318657272028655
2,1,True,PCA+poly(LN-winner),SAVE+poly,-0.7227891935748264,0.4698094074838186,2.3364872842024775,2.551071167568858
2,1,True,PCA+poly(LN-winner),SIR+linear,-1.7663972950203617,0.0773292185989356,2.3364872842024775,2.6262281037398827
2,1,True,PCA+poly(LN-winner),SIR+poly,-2.033102240881411,0.04204219465963366,2.3364872842024775,2.8214622896669805
2,1,False,INPCA(k3)+lin(G&S),DcorSDR(seqX)+linear,0.9147493240238455,0.36032324394277726,4.318042730014851,3.82177037068538
2,1,False,INPCA(k3)+lin(G&S),DcorSDR(seqX)+poly,1.002461158886836,0.3161209167534378,4.318042730014851,3.7493221443306677
2,1,False,INPCA(k3)+lin(G&S),DcorSDR(seqY)+linear,0.9147493240238455,0.36032324394277726,4.318042730014851,3.82177037068538
2,1,False,INPCA(k3)+lin(G&S),DcorSDR(seqY)+poly,1.002461158886836,0.3161209167534378,4.318042730014851,3.7493221443306677
2,1,False,INPCA(k3)+lin(G&S),"DvarSDR(joi,plain)+linear",-1.5358988186717344,0.12456319793397963,4.318042730014851,4.639297889526931
2,1,False,INPCA(k3)+lin(G&S),"DvarSDR(joi,plain)+poly",-0.32715136602817607,0.743553402902011,4.318042730014851,4.415688304978493
2,1,False,INPCA(k3)+lin(G&S),"DvarSDR(joi,robust)+linear",-2.189169128534795,0.028584549574856233,4.318042730014851,4.55116290314033
2,1,False,INPCA(k3)+lin(G&S),"DvarSDR(joi,robust)+poly",-2.1907573700665894,0.028469355045600775,4.318042730014851,4.55097965019363
2,1,False,INPCA(k3)+lin(G&S),"DvarSDR(seq,plain)+linear",0.1629768120854408,0.8705366918295745,4.318042730014851,4.248344000674589
2,1,False,INPCA(k3)+lin(G&S),"DvarSDR(seq,plain)+poly",0.06673366807485592,0.9467937307960352,4.318042730014851,4.283994550415119
2,1,False,INPCA(k3)+lin(G&S),"DvarSDR(seq,robust)+linear",-1.9293689073291662,0.05368508083187207,4.318042730014851,4.777831290362249
2,1,False,INPCA(k3)+lin(G&S),"DvarSDR(seq,robust)+poly",-1.1063530347317947,0.2685737450471719,4.318042730014851,10.771500276903131
2,1,False,INPCA(k3)+lin(G&S),INPCA(k2)+linear,-1.930841632100485,0.05350264011750028,4.318042730014851,4.633432330084317
2,1,False,INPCA(k3)+lin(G&S),INPCA(k2)+poly,-1.7392780606751428,0.08198586447247758,4.318042730014851,4.677798697348737
2,1,False,INPCA(k3)+lin(G&S),INPCA(k3)+linear,,,4.318042730014851,4.318042730014851
2,1,False,INPCA(k3)+lin(G&S),INPCA(k3)+poly,-1.0485105426801917,0.29440344754095604,4.318042730014851,4.320802727838458
2,1,False,INPCA(k3)+lin(G&S),INPCA(k4)+linear,1.7389117385374189,0.08205028911628687,4.318042730014851,3.6525341483840115
2,1,False,INPCA(k3)+lin(G&S),INPCA(k4)+poly,1.6377041756358446,0.10148341914073344,4.318042730014851,3.6597288136601898
2,1,False,INPCA(k3)+lin(G&S),PCA+linear,0.27679247294807136,0.781939461171878,4.318042730014851,4.240755043828368
2,1,False,INPCA(k3)+lin(G&S),PCA+poly,1.000335392253082,0.31714822486875516,4.318042730014851,3.8633797332649595
2,1,False,INPCA(k3)+lin(G&S),PLS+linear,0.5736386857159832,0.5662123274827229,4.318042730014851,3.9737527192824027
2,1,False,INPCA(k3)+lin(G&S),PLS+poly,0.457675744085675,0.6471854169193894,4.318042730014851,4.054432045676945
