# script: ch03_sir_initialisation.py
# seeds: 42, 7, 123, 2024, 5, 2026, 17, 99, 777, 31337
# n_restarts: 3
seed,p,nonlinearity,noise,start,angle,dcor2,spread
123,5,sine,0.5,sir,70.26904685857681,0.040763452516723246,1.7298873042852214e-05
123,5,sine,1.0,sir1,52.35389989175284,0.011201103327620464,
123,5,sine,1.0,random,73.67610618358525,0.021528643803054158,0.018529375501196512
123,5,sine,1.0,sir,81.27877395057668,0.023799590887514654,0.005722782639480069
123,5,sine,2.0,sir1,34.05609165295385,0.006210324840652845,
123,5,sine,2.0,random,43.34492493689364,0.01659108475377171,0.013280891840664777
123,5,sine,2.0,sir,43.34492493689364,0.01659108475377171,0.0010101674656269825
123,5,abs,0.0,sir1,65.5886158984878,0.001512715245643422,
123,5,abs,0.0,random,1.2185373484281778,0.3223620898047874,0.30376385775319115
123,5,abs,0.0,sir,1.3011022096601963,0.3223623069959114,7.107749468604485e-06
123,5,abs,0.5,sir1,71.98311612502849,0.019786008043208778,
123,5,abs,0.5,random,3.623615902273827,0.16931072537961175,0.1460046843170965
123,5,abs,0.5,sir,3.623615902273827,0.16931072537961175,0.00011654051258369602
123,5,abs,1.0,sir1,59.36868015351951,0.03050015160148947,
123,5,abs,1.0,random,13.135056534744608,0.06818270531023862,0.00030440066298902113
123,5,abs,1.0,sir,13.135056534744608,0.06818270531023862,0.00030440066298902113
123,5,abs,2.0,sir1,50.350350236200164,0.028068742358142808,
123,5,abs,2.0,random,51.6658324501177,0.0319627771193632,0.0004594815777090658
123,5,abs,2.0,sir,51.6658324501177,0.0319627771193632,0.00036113905181224537
123,5,cubic,0.0,sir1,3.787357408065481,0.7101487314963808,
123,5,cubic,0.0,random,2.522803436897217,0.719372611552405,2.6917250603331055e-05
123,5,cubic,0.0,sir,2.5526746690704307,0.719370933558419,2.5239256617348715e-05
123,5,cubic,0.5,sir1,4.537319022577935,0.6658518027068795,
123,5,cubic,0.5,random,4.840666067011316,0.6702220383487008,2.8444173317265786e-05
123,5,cubic,0.5,sir,4.846468497103068,0.6702262181946103,7.917234108201221e-06
123,5,cubic,1.0,sir1,10.040733111028075,0.5807154951333504,
123,5,cubic,1.0,random,6.550460474009522,0.584032683475496,7.071179505968583e-05
123,5,cubic,1.0,sir,6.489900555118669,0.5840305785180209,6.860683758458386e-05
123,5,cubic,2.0,sir1,10.406597858654067,0.41713582468343025,
123,5,cubic,2.0,random,9.293827212667473,0.41769587133618213,8.774148088069866e-05
123,5,cubic,2.0,sir,9.28141655658493,0.4176975282771436,6.706726629690518e-05
123,5,tanh,0.0,sir1,3.787357408065481,0.90638371094842,
123,5,tanh,0.0,random,0.8210799431819301,0.9115100065196542,5.915170120396329e-05
123,5,tanh,0.0,sir,0.8546457455619388,0.9115225095275155,3.756499467444385e-05
123,5,tanh,0.5,sir1,4.486755339462915,0.6379404229531749,
123,5,tanh,0.5,random,1.8750582201709707,0.6428001210702696,9.956236116659412e-06
123,5,tanh,0.5,sir,1.8457491039625016,0.6428043996293153,1.4234795162382241e-05
123,5,tanh,1.0,sir1,9.43343836135167,0.2865537024591265,
123,5,tanh,1.0,random,4.222046288274659,0.2923787565956901,0.00017008861364303796
123,5,tanh,1.0,sir,4.222046288274659,0.2923787565956901,2.0817797328265275e-05
123,5,tanh,2.0,sir1,26.633062768160563,0.05359241626376812,
123,5,tanh,2.0,random,6.891167392621825,0.0685815526455353,0.0002555327109675376
123,5,tanh,2.0,sir,6.891167392621825,0.0685815526455353,3.2199036703567385e-05
123,20,square,0.0,sir1,83.71948640652474,0.0011379939420263561,
123,20,square,0.0,random,6.860123635527822,0.27272431504039285,0.00011145320305239181
123,20,square,0.0,sir,6.860123635527822,0.27272431504039285,0.15094115043512701
123,20,square,0.5,sir1,79.09099075605698,0.1030926052930512,
123,20,square,0.5,random,9.5546758158956,0.2195598774943597,3.973125589046278e-05
123,20,square,0.5,sir,9.395196596481705,0.21954539190271868,0.07587612774915786
123,20,square,1.0,sir1,79.59029020728555,0.11629821551013525,
123,20,square,1.0,random,13.301796259906647,0.15695248710080698,9.953541056409443e-05
123,20,square,1.0,sir,13.301796259906647,0.15695248710080698,0.015989375586054455
123,20,square,2.0,sir1,71.70528037649676,0.06323581880307723,
123,20,square,2.0,random,65.55658948512696,0.12214141288629846,0.018726853353229475
123,20,square,2.0,sir,63.88553102728059,0.12212405423552888,0.018709494702459903
123,20,sine,0.0,sir1,86.65634037216553,0.10427984555372974,
123,20,sine,0.0,random,86.63708434644674,0.1417672821446809,6.127585080198394e-05
123,20,sine,0.0,sir,86.68130150025502,0.14177313085980522,6.712456592630756e-05
123,20,sine,0.5,sir1,86.8037282604705,0.009271434178309041,
123,20,sine,0.5,random,78.84694930301796,0.11541578962051194,0.0016566078054132682
123,20,sine,0.5,sir,78.84694930301796,0.11541578962051194,0.000865958258388505
123,20,sine,1.0,sir1,83.75202165378907,0.014390630076462347,
123,20,sine,1.0,random,86.82570041858317,0.08814380716512099,0.016482892440655816
123,20,sine,1.0,sir,86.73201601856904,0.08842138014475791,0.0012726714008723938
123,20,sine,2.0,sir1,85.9996005714101,0.03490465288670778,
